Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3417336.1,1339,877,1289,5,4,0,0,5,8,2,2,5,16,14,20
KAM3417337.1,21014,16370,21037,66,58,60,98,152,103,95,73,118,383,417,406
KAM3417338.1,674,745,782,11,4,3,6,10,20,5,7,16,6,12,28
KAM3417339.1,25484,13029,15534,8,4,0,22,44,19,69,68,56,81,161,191
KAM3417340.1,922,579,734,9,4,6,9,12,6,7,13,12,10,14,12
KAM3417341.1,308,226,363,0,0,0,1,3,0,5,3,2,0,4,0
KAM3417342.1,5773,2571,6137,2,0,0,5,8,0,10,0,6,2,2,7
KAM3417343.1,662,401,881,1,0,0,0,2,4,4,0,6,0,4,10
KAM3417344.1,201,225,248,0,0,0,0,4,4,4,8,4,2,2,4
KAM3417345.1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417346.1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417347.1,326,178,429,0,0,0,0,2,0,4,4,2,2,0,3
KAM3417348.1,74,103,208,0,0,3,0,2,0,0,2,0,0,0,3
KAM3417349.1,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417350.1,544,339,521,0,0,0,4,0,2,4,4,2,14,2,14
KAM3417351.1,1043,1109,1104,4,4,0,6,8,2,3,11,6,11,4,15
KAM3417352.1,2438,2105,2301,10,8,24,8,4,10,18,10,2,14,27,21
KAM3417354.1,414,202,333,0,4,0,2,6,4,4,2,2,6,4,0
KAM3417355.1,2164,1929,1138,6,0,0,1,4,0,4,2,2,12,4,17
KAM3417356.1,972,634,1025,6,0,0,0,4,1,3,0,0,8,7,4
KAM3417357.1,793,897,782,8,0,0,4,3,4,1,4,3,13,13,13
KAM3417358.1,11,8,32,0,0,6,0,0,0,0,0,0,0,0,0
KAM3417359.1,12,9,7,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417360.1,66,40,88,4,0,0,0,0,0,0,0,2,2,0,6
KAM3417361.1,2692,2122,2612,18,12,12,16,17,17,6,18,14,45,43,36
KAM3417362.1,180,183,236,0,0,0,8,2,9,0,4,3,2,6,12
KAM3417363.1,465,348,523,2,16,0,6,4,3,0,6,1,2,10,6
KAM3417364.1,186,149,293,0,0,0,0,3,6,1,0,2,0,0,0
KAM3417365.1,169,168,127,0,0,0,0,0,4,0,4,6,0,0,2
KAM3417366.1,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417367.1,730,700,1024,2,0,6,1,0,0,2,4,2,69,17,51
KAM3417368.1,86,100,155,0,0,0,0,0,0,2,4,2,0,2,2
KAM3417369.1,95,38,105,0,0,0,0,2,0,0,2,1,6,6,6
KAM3417370.1,7,4,16,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417371.1,99,30,103,1,0,0,2,0,0,0,2,0,2,0,0
KAM3417372.1,67,93,142,0,0,0,0,2,4,4,2,4,2,6,8
KAM3417373.1,7148,6399,5753,8,24,24,14,3,6,13,3,10,17,17,30
KAM3417374.1,664,856,854,2,4,12,3,2,4,7,1,5,13,2,8
KAM3417375.1,48,45,32,0,0,0,0,0,0,0,0,0,0,3,0
KAM3417376.1,242,196,267,0,0,0,0,0,0,0,0,2,0,0,6
KAM3417377.1,80,92,103,0,0,0,0,4,0,0,2,3,6,0,0
KAM3417378.1,34,39,23,0,2,0,1,2,0,1,3,6,1,0,2
KAM3417379.1,2185,2036,1945,7,0,0,2,6,2,7,4,2,12,8,17
KAM3417380.1,5744,7122,4639,12,22,18,10,10,9,6,4,19,23,15,23
KAM3417381.1,2270,2461,2739,12,4,6,14,14,8,2,6,14,22,25,27
KAM3417382.1,393,282,652,0,0,0,2,0,0,0,6,4,2,8,8
KAM3417383.1,517,634,533,4,0,0,8,8,1,4,0,6,8,14,16
KAM3417384.1,239,107,296,0,0,0,2,5,2,0,4,4,0,2,14
KAM3417386.1,249,256,402,0,4,0,0,0,0,2,5,1,2,1,0
KAM3417387.1,2867,3109,2802,13,18,12,12,14,13,16,6,16,23,24,24
KAM3417388.1,180,186,232,0,0,0,2,8,11,2,0,2,1,0,2
KAM3417389.1,138,89,158,0,0,0,0,0,0,0,0,0,1,4,0
KAM3417390.1,2288,1967,2026,6,0,6,6,15,10,4,13,8,27,20,46
KAM3417391.1,5061,4372,3474,6,0,0,2,10,4,8,6,4,28,15,26
KAM3417392.1,1214,1061,1121,8,16,6,6,6,7,10,2,4,24,58,67
KAM3417393.1,21,18,21,0,0,0,0,0,2,0,0,0,0,0,0
KAM3417394.1,500,496,540,4,0,0,4,4,2,6,15,2,6,2,9
KAM3417395.1,565,462,743,2,0,12,2,0,2,6,2,4,6,7,6
KAM3417396.1,147,141,179,1,0,0,0,0,2,1,0,2,3,0,2
KAM3417397.1,148,163,91,2,0,6,2,0,2,1,0,4,1,6,0
KAM3417398.1,2182,2172,2181,8,12,6,16,4,15,8,12,14,6,17,22
KAM3417400.1,718,319,894,5,0,0,59,47,64,66,74,68,63,109,94
KAM3417401.1,1391,1159,1430,27,16,12,19,16,10,8,7,3,40,25,37
KAM3417403.1,75,67,68,0,0,0,0,2,0,0,0,0,0,2,2
KAM3417404.1,377,229,431,4,0,0,1,4,1,9,1,2,10,20,12
KAM3417405.1,98,58,140,0,4,0,0,2,2,6,6,0,0,0,0
KAM3417406.1,50,57,106,0,0,0,0,1,0,1,0,0,0,0,1
KAM3417407.1,38,55,60,0,2,0,0,0,0,0,0,0,0,0,0
KAM3417409.1,8748,7658,10502,21,12,0,19,39,16,41,27,31,49,55,72
KAM3417410.1,2203,1705,1710,6,2,0,5,9,3,7,6,7,13,9,22
KAM3417411.1,753,616,1136,0,0,6,0,7,3,8,12,7,1,4,6
KAM3417412.1,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417413.1,65,42,40,2,0,0,0,0,2,2,0,0,0,2,0
KAM3417414.1,246,267,342,0,4,0,0,4,1,2,0,0,0,2,0
KAM3417415.1,1721,2013,1619,5,4,0,6,4,4,4,14,17,12,20,24
KAM3417416.1,89,136,71,2,0,0,3,2,6,2,0,0,4,6,2
KAM3417417.1,254,296,294,2,8,0,1,2,3,0,0,0,25,20,25
KAM3417418.1,200,118,325,0,0,6,4,9,4,10,4,11,4,11,14
KAM3417419.1,16,39,89,0,0,0,0,0,0,0,0,0,0,0,0
KAM3417420.1,615,544,837,2,0,0,6,2,2,19,14,20,6,5,8
KAM3417421.1,663,811,1109,5,0,0,14,10,10,24,20,30,110,66,45
KAM3417422.1,1567,1424,1881,10,0,6,15,38,26,97,114,149,42,26,28
KAM3417423.1,741,781,1055,2,8,6,2,10,6,14,24,22,9,6,8
KAM3417424.1,15874,10187,19817,8,8,6,46,90,56,186,343,365,192,270,224
KAM3417425.1,555,529,527,2,0,6,7,6,12,25,20,20,10,24,28
KAM3417426.1,172,130,139,0,0,0,2,0,2,2,4,2,4,0,2
