Geneid,CZ_in vitro_1,CZ_in vitro_2,CZ_in vitro_3,CZ_0dpi_1,CZ_0dpi_2,CZ_0dpi_3,CZ_1dpi_1,CZ_1dpi_2,CZ_1dpi_3,CZ_3dpi_1,CZ_3dpi_2,CZ_3dpi_3,CZ_6dpi_1,CZ_6dpi_2,CZ_6dpi_3
KAM3419741.1,2.18078,1.993446,2.831893,0,0,59.133948,104.171957,135.660986,278.130968,119.434196,31.129868,50.87278,71.057979,139.818043,39.033484
KAM3419742.1,2.425847,1.6081,3.663162,0,8.394805,58.927186,17.301287,0,10.659942,0,0,4.224575,0,0,4.321889
KAM3419743.1,4.129716,2.021611,4.025214,0,0,0,21.750189,15.106571,71.472371,28.499212,0,15.932684,0,28.308149,5.433232
KAM3419744.1,2.604325,2.866252,3.579607,24.238617,0,0,0,0,0,0,15.985608,13.06193,0,0,20.044222
KAM3419745.1,4.239841,2.813607,2.793772,0,0,0,0,0,0,0,0,0,0,0,0
KAM3419746.1,0.441718,0.257219,0.281081,0,0,0,16.801928,0,0,0,0,32.821148,0,0,8.394298
KAM3419747.1,12.929665,16.721458,14.351766,25.334147,0,0,27.955751,38.833277,22.966051,18.315171,16.708121,6.82615,47.673079,59.125247,55.867134
KAM3419748.1,13.317684,17.865791,18.791091,0,0,0,23.340415,0,0,0,0,11.398382,63.684038,75.94462,75.796152
KAM3419749.1,8.639175,8.694568,7.10039,0,0,77.485863,0,0,28.034421,0,0,0,23.277614,0,0
KAM3419750.1,95.814597,94.969442,119.53086,148.061361,317.101884,52.997406,408.457259,437.698654,556.0601,183.497282,327.818066,307.756321,226.874384,334.15633,384.811235
KAM3419751.1,7.45492,8.877571,6.456221,10.740465,23.002771,0,0,16.463449,19.473011,23.294266,17.708607,17.363763,4.04222,9.640874,8.881871
KAM3419752.1,0.052087,0.11699,0.19576,0,0,0,0,0,0,0,0,0,0,0,0
KAM3419753.1,3.839727,3.982556,5.410011,68.286458,0,0,25.117604,0,0,0,0,0,17.133269,20.431801,6.274418
KAM3419754.1,23.931173,20.840431,27.829694,49.276308,0,61.733242,108.750944,132.1825,178.680926,80.154033,32.498214,73.024801,55.636055,79.616668,20.374621
KAM3419755.1,40.065487,28.008756,28.158757,27.765598,0,69.56935,61.277622,148.961083,75.51067,120.437845,201.428557,59.850329,20.899405,79.753608,65.055807
KAM3419756.1,36.209517,49.515168,42.687065,23.114145,66.004516,115.829382,110.526088,53.145541,27.938083,66.840934,50.813358,70.583797,78.291974,60.860088,74.333525
KAM3419757.1,4.753762,3.895763,4.138921,0,0,0,131.951145,0,0,0,0,64.438854,0,0,0
KAM3419758.1,69.208963,44.689809,43.431438,134.861476,72.207948,42.238534,93.010676,271.321973,122.255371,243.743257,244.591819,127.181949,164.956022,102.896396,113.847662
KAM3419759.1,1.456107,0.865725,2.391376,0,0,0,0,0,0,0,0,0,0,0,0
KAM3419760.1,31.579377,41.445901,40.913123,62.678776,67.119327,13.087304,5.763737,26.020783,14.204978,5.664156,20.668637,22.517946,12.777607,15.003154,15.837698
KAM3419761.1,326.152045,376.325616,389.794073,276.108637,149.706268,122.600391,69.420906,107.147155,95.050454,118.75597,96.810735,86.638366,124.960689,87.842414,105.01214
KAM3419762.1,11.428748,5.536615,10.828572,0,0,0,0,0,23.633669,75.390356,120.356757,28.098338,9.811785,9.360616,0
KAM3419763.1,3.030487,2.206855,5.491443,0,0,0,0,0,19.975386,15.930149,14.532371,47.497927,0,0,0
KAM3419764.1,3.771542,5.246333,3.904208,19.944303,0,33.3149,7.336053,10.190497,12.053346,9.61241,0,7.16518,2.502042,7.160975,1.832558
KAM3419765.1,92.864857,113.312961,111.461553,146.835952,120.95286,0,118.407041,60.597519,112.631995,142.899856,145.259648,167.386823,55.262345,87.192841,82.507805
KAM3419766.1,2.147452,1.793288,2.956372,0,0,0,0,49.096357,23.22852,18.524488,16.899071,27.616652,19.287166,0,0
KAM3419767.1,37.529697,40.723258,39.45287,78.669194,56.161737,32.852193,0,0,59.429694,18.957809,0,56.525311,39.476655,37.661426,7.228423
KAM3419768.1,1.136554,1.923834,1.76877,15.330407,16.416508,0,8.458407,41.123444,13.897405,11.083027,0,16.522783,5.769665,5.504362,4.225847
KAM3419769.1,15.107775,18.147669,15.719352,13.227564,84.988116,0,14.596366,81.103127,0,76.502308,26.171128,28.512767,42.315131,42.744052,30.992663
KAM3419770.1,3.413983,1.726139,3.523161,0,0,0,7.589215,0,0,0,27.214762,0,5.17677,0,0
KAM3419771.1,12.703413,8.577221,14.106933,0,0,0,103.418301,55.253135,78.424265,125.084964,175.918787,190.363979,27.132267,103.538647,39.744705
KAM3419772.1,23.159493,15.280236,35.216354,38.490507,0,192.883263,0,58.999914,17.446314,27.826483,76.154612,0,7.243034,41.459896,0
KAM3419773.1,16.018826,18.683386,19.235369,134.141062,0,0,148.022118,0,17.371757,0,50.552777,20.653479,14.424162,0,21.129236
KAM3419774.1,1.598389,1.145411,0.931748,0,0,0,0,0,12.843574,10.242608,9.343878,15.269871,0,0,0
KAM3419775.1,0.712868,0.41409,0.871074,0,0,0,0,8.767207,10.369875,0,0,12.328862,0,0,0
KAM3419776.1,0,0.420255,0.401837,0,0,0,0,0,78.931866,0,0,0,0,0,0
KAM3419777.1,1.672796,1.643782,1.309785,0,0,0,0,0,0,0,10.695615,0,0,0,4.470381
KAM3419778.1,159.682338,117.084451,155.831923,0,0,0,0,0,61.127685,146.245954,0,36.3377,50.755699,0,37.174747
KAM3419779.1,1.225632,0.806871,6.898201,0,0,0,0,0,0,0,0,0,451.51424,98.861243,130.111614
KAM3419780.1,11.206384,11.385079,10.427127,25.944903,37.044,130.014852,38.172945,46.397714,7.839906,12.504476,28.518201,13.981429,13.019302,18.630966,11.919579
