Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2207477,2222,2163,3713,2,0,2,2,0,0,10,2,0,28,42,17
KAF2207478,265,215,382,0,0,0,0,0,0,2,0,2,2,20,6
KAF2207479,207,131,135,0,0,0,0,0,0,8,0,0,14,39,13
KAF2207480,3274,2753,3306,0,0,2,0,0,4,29,6,10,46,104,53
KAF2207481,5432,4026,1532,10,0,2,2,0,2,11,4,5,45,90,20
KAF2207482,3968,2997,1988,3,2,1,0,0,2,19,2,14,43,107,41
KAF2207483,12527,12045,6865,3,2,0,2,2,0,14,4,12,45,88,51
KAF2207484,12,10,8,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207485,1167,1134,258,0,0,0,0,2,0,2,0,0,9,21,18
KAF2207486,939,707,856,0,0,0,0,0,4,12,4,4,35,70,14
KAF2207487,235,306,293,0,0,0,0,2,0,6,4,0,10,48,13
KAF2207488,497,463,511,0,0,1,0,0,0,2,1,4,24,35,12
KAF2207489,465,392,427,0,0,1,0,0,0,2,1,2,4,46,21
KAF2207490,2064,2188,3516,0,0,2,2,0,4,10,2,2,35,76,38
KAF2207491,169,263,399,0,0,0,0,2,0,2,2,0,8,25,7
KAF2207492,296,239,303,0,0,1,0,0,0,1,0,0,7,38,24
KAF2207493,728,493,306,0,0,0,0,0,0,2,0,0,7,13,4
KAF2207494,984,947,687,0,0,1,0,0,0,6,4,2,6,15,6
KAF2207495,15542,12842,4289,6,6,2,2,0,2,14,0,2,35,64,11
KAF2207496,2118,2050,1222,2,3,0,0,0,2,2,8,2,7,32,8
KAF2207497,19655,17922,14913,12,7,10,18,14,30,104,47,27,519,1198,569
KAF2207498,476,461,551,0,0,0,0,0,0,7,0,2,6,10,9
KAF2207499,385,348,369,2,0,0,0,0,0,11,0,0,14,38,24
KAF2207500,192,177,266,0,0,2,0,0,0,2,0,0,11,14,4
KAF2207501,3120,2239,1558,0,4,4,0,0,0,2,0,4,61,123,47
KAF2207502,345,307,387,2,0,0,0,0,0,1,3,1,3,20,7
KAF2207503,801,764,1006,0,0,0,6,0,0,25,2,7,29,101,16
KAF2207504,19055,16901,11481,12,12,6,12,20,14,125,58,58,659,1642,759
KAF2207505,1911,1962,3270,2,0,0,3,2,8,23,6,9,50,136,60
KAF2207506,615,473,281,0,0,0,0,0,0,0,0,2,1,10,2
KAF2207507,976,921,786,2,0,2,2,0,0,6,2,0,12,47,16
KAF2207508,276,242,319,2,0,0,0,0,0,3,2,4,34,48,15
KAF2207509,2185,2532,4435,0,0,0,4,2,0,16,11,4,92,160,91
KAF2207510,1223,881,1503,2,0,6,0,0,0,2,2,0,32,38,27
KAF2207511,2413,2154,1374,0,0,2,0,0,4,12,10,0,28,39,10
KAF2207512,369,292,272,0,0,0,0,0,0,0,0,0,6,1,4
KAF2207513,2697,2394,4483,0,0,0,0,0,0,5,0,1,16,48,11
KAF2207514,13815,11776,4927,0,0,0,1,4,4,36,17,12,127,263,147
KAF2207515,139,136,140,0,0,0,0,0,1,4,7,2,13,21,23
KAF2207516,633,695,906,0,0,0,0,0,4,9,0,4,32,70,23
KAF2207517,355,282,504,0,0,0,0,0,0,4,0,0,28,23,17
KAF2207518,76,74,214,0,2,0,0,0,0,0,0,1,12,7,4
KAF2207519,33,11,27,0,0,0,0,0,0,2,0,0,0,9,0
KAF2207520,814,707,690,2,0,0,0,0,0,4,6,3,18,53,27
KAF2207521,1180,1121,1656,0,0,2,2,0,0,8,7,8,44,103,44
KAF2207522,386,363,614,0,0,0,0,0,0,0,4,2,26,20,8
KAF2207523,95,96,243,2,0,0,0,0,0,0,2,0,3,6,2
KAF2207524,18691,19678,16276,0,0,0,0,0,0,0,0,0,3,4,8
KAF2207525,8848,8834,5989,3,2,0,0,0,0,0,0,0,6,2,4
KAF2207526,1656,1580,1138,0,0,0,2,0,0,17,6,2,56,122,55
KAF2207327,461,264,717,0,0,0,0,0,0,4,0,6,20,33,15
KAF2207328,52,60,51,0,0,0,0,0,0,8,0,0,15,20,14
KAF2207329,82,40,107,0,0,0,0,0,0,0,2,2,8,26,12
KAF2207330,18,10,28,0,0,0,0,0,0,2,1,2,8,6,8
KAF2207331,23,23,33,0,0,0,0,0,0,6,2,2,17,16,16
KAF2207332,6,7,2,0,0,0,0,0,0,2,2,0,14,22,23
KAF2207333,8,8,11,0,0,0,0,0,0,0,0,0,6,6,2
KAF2207334,1148,904,553,0,0,0,0,0,6,44,14,16,135,168,107
KAF2207335,70,65,336,0,0,0,0,0,0,0,0,0,2,2,0
KAF2207336,88,71,207,0,0,0,0,0,0,2,0,2,0,8,4
KAF2207337,302,352,1138,0,0,0,0,0,0,0,2,0,10,8,8
KAF2207338,90,56,280,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207339,2204,2295,3989,0,2,2,4,0,0,7,0,1,12,18,10
KAF2207340,2779,2698,3743,4,0,2,2,0,0,3,0,2,6,12,4
KAF2207341,405,406,500,1,0,0,0,0,1,6,6,3,20,92,28
KAF2207342,317,304,371,0,0,0,0,0,0,2,3,7,18,21,6
KAF2207343,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207344,668,546,507,0,0,2,0,0,0,0,0,2,4,6,10
KAF2207345,51,35,103,0,0,0,0,0,0,0,0,0,0,0,2
KAF2207346,14235,17374,47219,2,0,2,4,3,6,30,10,20,112,314,166
KAF2207347,74,71,79,0,0,0,0,0,0,0,0,0,2,0,1
KAF2207348,2956,2737,5623,0,2,0,0,0,0,20,0,8,28,56,34
KAF2207349,111,105,100,0,0,0,0,0,0,2,0,3,0,3,8
KAF2207350,170,169,343,0,0,0,0,0,0,0,0,0,4,5,1
KAF2207351,2484,2376,4987,0,0,0,4,4,1,11,6,15,40,87,33
KAF2207352,3852,3437,5068,2,2,2,0,0,0,12,6,10,41,80,40
KAF2207353,1861,1891,1765,2,2,0,0,0,0,12,8,2,8,14,14
KAF2207354,4359,4286,4127,2,0,2,0,0,0,0,0,0,4,4,4
KAF2207355,95,114,222,0,0,0,0,2,0,0,0,0,0,0,0
KAF2207356,848,701,1202,0,2,0,2,0,0,7,0,2,12,41,12
KAF2207357,576,480,512,0,0,1,0,0,0,2,3,6,5,6,3
KAF2207358,51,34,148,0,0,0,0,2,0,34,4,7,26,87,20
KAF2207359,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207360,1501,860,850,4,0,4,6,4,10,19,8,4,29,72,45
KAF2207361,1432,1366,1618,2,0,2,0,2,0,16,0,12,67,64,20
KAF2207362,16,33,147,0,0,0,0,0,0,0,0,0,0,0,2
KAF2207363,3987,3535,2601,0,0,4,2,4,1,28,4,6,107,213,82
KAF2207364,172,148,145,0,2,0,0,0,0,2,2,0,5,12,11
KAF2207365,6260,6467,6291,0,0,0,2,0,0,12,0,3,30,74,18
KAF2207366,910,817,624,0,0,0,0,0,0,12,3,0,13,8,14
KAF2207367,11810,11173,10645,1,0,7,6,2,8,35,4,10,169,323,142
KAF2207368,1805,1476,1353,0,0,0,0,2,0,11,2,5,33,55,12
KAF2207369,657,529,819,0,0,0,0,2,2,12,0,0,14,46,9
KAF2207370,480,411,503,0,0,0,0,1,0,2,0,3,24,51,19
KAF2207371,940,851,850,2,4,0,0,0,2,4,4,1,29,63,35
KAF2207372,9103,8969,4019,0,0,0,0,0,0,4,4,2,12,39,26
KAF2207373,934,1514,3269,0,0,0,2,2,0,0,0,0,0,8,2
KAF2207374,5125,4164,2697,2,2,2,4,2,0,34,2,8,75,150,31
KAF2207375,2508,2330,2822,0,2,0,0,2,0,4,0,0,14,42,16
KAF2207376,1272,1176,1510,0,0,2,0,0,2,10,0,6,48,81,59
KAF2207377,9982,9089,6541,2,6,4,14,8,6,94,44,30,538,1372,707
KAF2207378,3967,3765,2640,0,2,0,2,2,2,14,1,2,40,80,38
KAF2207379,2851,2518,2302,0,4,0,0,2,0,3,2,10,31,69,22
KAF2207380,2394,2076,2720,0,0,0,0,0,0,12,1,0,25,97,28
KAF2207381,845,624,465,0,0,0,0,0,0,2,0,0,12,19,6
KAF2207382,1990,1665,981,0,0,2,4,0,0,8,0,4,15,23,12
KAF2207383,45,55,123,0,0,0,0,0,0,0,0,0,0,6,2
KAF2207384,1213,983,813,1,0,0,0,0,0,6,0,0,15,46,9
KAF2207385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KAF2207386,1186,1013,2239,0,2,2,2,0,0,12,2,2,22,54,12
KAF2207387,1,1,10,0,0,0,0,0,0,0,0,0,0,2,2
KAF2207388,2895,2584,4189,4,4,2,0,0,3,10,4,8,45,56,28
KAF2207389,952,850,222,2,2,2,0,0,1,0,1,0,5,18,10
KAF2207390,4855,3627,1932,2,0,1,0,0,2,6,4,6,30,68,40
KAF2207391,81,60,68,0,0,0,0,0,0,0,0,0,0,4,0
KAF2207392,227,126,154,0,2,0,0,0,0,4,0,0,13,25,6
KAF2207393,15,26,51,0,0,0,0,0,0,4,0,0,0,4,0
KAF2207394,287,303,532,0,0,0,0,0,0,3,0,4,31,55,23
KAF2207395,3269,3037,3351,0,3,2,2,2,4,22,2,12,55,108,55
