Geneid,CM_in vitro_1,CM_in vitro_2,CM_in vitro_3,CM_0dpi_1,CM_0dpi_2,CM_0dpi_3,CM_1dpi_1,CM_1dpi_2,CM_1dpi_3,CM_3dpi_1,CM_3dpi_2,CM_3dpi_3,CM_6dpi_1,CM_6dpi_2,CM_6dpi_3
KAF2211230,39.932785,36.31793,20.077261,89.333699,0,0,0,0,0,35.034944,21.971779,9.30332,30.506196,34.711247,29.20472
KAF2211231,63.822736,61.507533,33.606499,0,0,94.443689,0,132.240498,0,15.64351,12.263319,20.770202,74.655591,56.583561,47.542568
KAF2211232,9.047292,13.371288,29.066482,0,0,0,0,0,0,15.827551,0,0,23.852808,6.222745,10.994718
KAF2211233,297.227046,307.835406,448.467059,208.747305,149.421552,98.849784,606.941223,761.254631,415.825659,442.079879,243.873378,271.739969,422.222121,435.806695,354.010972
KAF2211234,8.960085,9.280906,18.102514,0,0,159.780143,0,0,0,6.616435,41.494245,35.139096,8.863339,10.405245,18.384611
KAF2211235,198.684552,234.078367,389.826576,0,143.038495,0,498.011688,529.989102,729.780761,885.574541,540.633757,541.073853,934.350776,908.943607,792.100068
KAF2211236,72.839706,67.597093,87.918108,80.316666,114.981517,0,66.721129,106.507956,159.991194,107.095371,118.524144,83.64275,118.147104,88.173894,82.052805
KAF2211237,0.908235,0.636393,0.771896,0,0,0,0,0,0,0,0,0,4.862083,0,0
KAF2211238,92.540227,77.759961,72.180982,0,0,0,0,0,150.294758,17.753778,37.113621,15.714699,21.800954,51.187092,47.275676
KAF2211239,32.037984,25.860859,65.507523,0,301.905021,0,131.391403,0,0,45.487993,103.735613,0,70.629729,55.928192,40.216336
KAF2211240,2.649709,3.020355,2.695612,0,0,0,0,0,0,0,0,0,0,0,29.616055
KAF2211241,99.842729,119.059401,152.126347,0,0,0,84.367112,134.676507,67.434885,31.86336,0,21.152811,25.343609,23.175629,17.983959
KAF2211242,204.977739,232.045656,824.673221,205.277437,176.325379,194.413338,136.423415,108.887389,109.043644,103.047461,50.488343,119.715911,193.042806,162.056156,192.378329
